temporal_change,dispersal,replicate,time,predicted_species,environment_1,community,N
no,no dispersal,1,1,col,dark,monoculture,132
no,no dispersal,1,1,col,dark,polyculture,43
no,no dispersal,1,1,col,light,monoculture,37
no,no dispersal,1,1,col,light,polyculture,47
no,no dispersal,1,1,eug,dark,monoculture,643
no,no dispersal,1,1,eug,dark,polyculture,58
no,no dispersal,1,1,eug,light,monoculture,3224
no,no dispersal,1,1,eug,light,polyculture,112
no,no dispersal,1,1,eup,dark,monoculture,49
no,no dispersal,1,1,eup,dark,polyculture,5
no,no dispersal,1,1,eup,light,monoculture,45
no,no dispersal,1,1,eup,light,polyculture,8
no,no dispersal,1,1,pau,dark,monoculture,167
no,no dispersal,1,1,pau,dark,polyculture,25
no,no dispersal,1,1,pau,light,monoculture,105
no,no dispersal,1,1,pau,light,polyculture,11
no,no dispersal,1,1,rot,dark,monoculture,81
no,no dispersal,1,1,rot,dark,polyculture,81
no,no dispersal,1,1,rot,light,monoculture,224
no,no dispersal,1,1,rot,light,polyculture,32
no,no dispersal,1,1,spi,dark,monoculture,12
no,no dispersal,1,1,spi,dark,polyculture,22
no,no dispersal,1,1,spi,light,monoculture,10
no,no dispersal,1,1,spi,light,polyculture,7
no,no dispersal,1,1,tet,dark,monoculture,172
no,no dispersal,1,1,tet,dark,polyculture,101
no,no dispersal,1,1,tet,light,monoculture,127
no,no dispersal,1,1,tet,light,polyculture,71
no,no dispersal,1,2,col,dark,monoculture,467
no,no dispersal,1,2,col,dark,polyculture,107
no,no dispersal,1,2,col,light,monoculture,201
no,no dispersal,1,2,col,light,polyculture,55
no,no dispersal,1,2,eug,dark,monoculture,388
no,no dispersal,1,2,eug,dark,polyculture,53
no,no dispersal,1,2,eug,light,monoculture,6267
no,no dispersal,1,2,eug,light,polyculture,61
no,no dispersal,1,2,eup,dark,monoculture,105
no,no dispersal,1,2,eup,dark,polyculture,43
no,no dispersal,1,2,eup,light,monoculture,207
no,no dispersal,1,2,eup,light,polyculture,0
no,no dispersal,1,2,pau,dark,monoculture,85
no,no dispersal,1,2,pau,dark,polyculture,40
no,no dispersal,1,2,pau,light,monoculture,88
no,no dispersal,1,2,pau,light,polyculture,17
no,no dispersal,1,2,rot,dark,monoculture,261
no,no dispersal,1,2,rot,dark,polyculture,21
no,no dispersal,1,2,rot,light,monoculture,276
no,no dispersal,1,2,rot,light,polyculture,4
no,no dispersal,1,2,spi,dark,monoculture,531
no,no dispersal,1,2,spi,dark,polyculture,3
no,no dispersal,1,2,spi,light,monoculture,31
no,no dispersal,1,2,spi,light,polyculture,0
no,no dispersal,1,2,tet,dark,monoculture,328
no,no dispersal,1,2,tet,dark,polyculture,9
no,no dispersal,1,2,tet,light,monoculture,392
no,no dispersal,1,2,tet,light,polyculture,17
no,no dispersal,1,3,col,dark,monoculture,124
no,no dispersal,1,3,col,dark,polyculture,44
no,no dispersal,1,3,col,light,monoculture,79
no,no dispersal,1,3,col,light,polyculture,19
no,no dispersal,1,3,eug,dark,monoculture,126
no,no dispersal,1,3,eug,dark,polyculture,22
no,no dispersal,1,3,eug,light,monoculture,6588
no,no dispersal,1,3,eug,light,polyculture,44
no,no dispersal,1,3,eup,dark,monoculture,44
no,no dispersal,1,3,eup,dark,polyculture,8
no,no dispersal,1,3,eup,light,monoculture,49
no,no dispersal,1,3,eup,light,polyculture,2
no,no dispersal,1,3,pau,dark,monoculture,35
no,no dispersal,1,3,pau,dark,polyculture,17
no,no dispersal,1,3,pau,light,monoculture,5
no,no dispersal,1,3,pau,light,polyculture,2
no,no dispersal,1,3,rot,dark,monoculture,95
no,no dispersal,1,3,rot,dark,polyculture,0
no,no dispersal,1,3,rot,light,monoculture,112
no,no dispersal,1,3,rot,light,polyculture,0
no,no dispersal,1,3,spi,dark,monoculture,69
no,no dispersal,1,3,spi,dark,polyculture,2
no,no dispersal,1,3,spi,light,monoculture,36
no,no dispersal,1,3,spi,light,polyculture,1
no,no dispersal,1,3,tet,dark,monoculture,62
no,no dispersal,1,3,tet,dark,polyculture,6
no,no dispersal,1,3,tet,light,monoculture,211
no,no dispersal,1,3,tet,light,polyculture,0
no,no dispersal,1,4,col,dark,monoculture,617
